label,count,latitude,longitude
Colorado Avenue and 18th Street,3,40.00819219,-105.2689976
Colorado Avenue and 26th Street,2,40.00837808,-105.2616795
Colorado Avenue and 28th Street,2,40.00825622,-105.2580339
Colorado Avenue and 33rd Street,2,40.00732557,-105.2514149
Colorado Avenue and Innovation,1,40.00759218,-105.2486741
Euclid Avenue and 18th Street,2,40.00596918,-105.2704665
