label,count,latitude,longitude
Colorado Avenue and 28th Street,1,40.00825622,-105.2580339
Euclid Avenue and 18th Street,5,40.00596918,-105.2704665
Sustainable Energy and Environment Labs,1,40.00906415,-105.2435664
