label,count,latitude,longitude
Colorado Avenue and 18th Street,1,40.00819219,-105.2689976
Colorado Avenue and 26th Street,2,40.00837808,-105.2616795
Colorado Avenue and 28th Street (Farside,2,40.00795037,-105.2580014
Colorado Avenue and 30th Street,2,40.00730731,-105.2537624
Euclid Avenue and 18th Street,5,40.00596918,-105.2704665
Space Science,4,40.00993592,-105.2453056
