label,count,latitude,longitude
18th Street and Euclid Avenue,2,40.00687923,-105.2695902
Colorado Avenue and 26th Street,4,40.00837808,-105.2616795
Colorado Avenue and 28th Street,6,40.00825622,-105.2580339
Euclid Avenue and 18th Street,3,40.00596918,-105.2704665
Space Science,2,40.00993592,-105.2453056
