label,count,latitude,longitude
Colorado Avenue and 28th Street (Farside,5,40.00795037,-105.2580014
Colorado Avenue and 30th Street,1,40.00730731,-105.2537624
Colorado Avenue at Folsom,1,40.00834405,-105.2654167
Euclid Avenue and 18th Street,14,40.00596918,-105.2704665
Sustainable Energy and Environment Labs,4,40.00906415,-105.2435664
