label,count,latitude,longitude
Sustainable Energy and Environment Labs,4,40.00906415,-105.2435664
Euclid Avenue and 18th Street,7,40.00596918,-105.2704665
Colorado Avenue and 28th Street,3,40.00825622,-105.2580339
Colorado Avenue and 35th Street,2,40.00730723,-105.2473591
Colorado Avenue and Folsom Street,1,40.00816692,-105.2649713
Colorado Avenue and 26th Street,1,40.00837808,-105.2616795
Biotech,1,40.00841941,-105.2484713
