label,count,latitude,longitude
Balch,3,40.00835063,-105.2675997
Colorado Avenue and 18th Street,7,40.00819219,-105.2689976
Colorado Avenue and 26th Street,1,40.00837808,-105.2616795
Euclid Avenue and 18th Street,9,40.00596918,-105.2704665
