label,count,latitude,longitude
Colorado Avenue and 18th Street,3,40.00819219,-105.2689976
Colorado Avenue and 26th Street,3,40.00837808,-105.2616795
Colorado Avenue and 28th Street,1,40.00825622,-105.2580339
Colorado Avenue and 30th Street,1,40.00730731,-105.2537624
Colorado Avenue at Folsom,1,40.00834405,-105.2654167
Euclid Avenue and 18th Street,7,40.00596918,-105.2704665
Space Science,1,40.00993592,-105.2453056
