label,count,latitude,longitude
Colorado Avenue and 18th Street,2,40.00819219,-105.2689976
Colorado Avenue and 28th Street,2,40.00825622,-105.2580339
Colorado Avenue and 33rd Street,4,40.00732557,-105.2514149
Colorado Avenue at Folsom,1,40.00834405,-105.2654167
Euclid Avenue and 18th Street,10,40.00596918,-105.2704665
Space Science,6,40.00993592,-105.2453056
