label,count,latitude,longitude
18th Street and Euclid Avenue,4,40.00687923,-105.2695902
Colorado Avenue and 28th Street,1,40.00825622,-105.2580339
Colorado Avenue and 35th Street,1,40.00730723,-105.2473591
Euclid Avenue and 18th Street,4,40.00596918,-105.2704665
