label,count,latitude,longitude
18th Street and Euclid Avenue,4,40.00687923,-105.2695902
Colorado Avenue and 26th Street,1,40.00837808,-105.2616795
Euclid Avenue and 18th Street,7,40.00596918,-105.2704665
